Protein,True_Family,Predicted_Family,Confidence,Index
AFH41240,1.A.102,1.A.102,0.99999964,3
WP_189658242,1.A.104,1.A.104,0.99999905,7
XP_022087427,1.A.105,1.A.105,0.9999988,10
W8PP26,1.A.106,1.A.106,0.99998176,23
A5UL63,1.A.106,1.A.106,0.99997556,24
M0E5W6,1.A.106,1.A.106,0.99999404,25
D3RXV6,1.A.106,1.A.106,0.99998915,26
Q8WWM9,1.A.107,1.A.107,0.9999566,31
Q92915,1.A.108,1.A.108,0.9999957,34
P01584,1.A.109,1.A.109,1.0,36
A9JTM7,1.A.110,1.A.110,0.99999475,45
R4GK65,1.A.110,1.A.110,0.9999926,46
Q4U8M1,1.A.111,1.A.111,0.9999956,54
Q8IDG4,1.A.111,1.A.111,0.99999595,55
XP_007903208,1.A.114,1.A.114,0.9999981,60
H3CYV8,1.A.114,1.A.114,0.999998,61
WP_062382148,1.A.115,1.W.9,0.06546565,66
Q91DM1,1.A.116,1.A.116,0.99998033,72
AGA19094,1.A.116,1.A.116,0.99996495,73
QII89021,1.A.117,1.A.117,0.95012987,79
Q9J3N8,1.A.117,1.A.117,0.99359787,80
PRW60447,1.A.119,1.A.119,0.999846,89
RYG54403,1.A.119,1.A.119,0.9999027,90
XP_005851849,1.A.119,1.A.119,0.9999578,91
Q8F2Y8,1.A.12,1.A.12,0.9999039,100
P0ACA3,1.A.12,1.A.12,0.99994814,101
B7LBF5,1.A.12,1.A.12,0.9994294,102
KAF2073363,1.A.121,1.A.121,0.999997,111
KNE65670,1.A.121,1.A.121,0.999997,112
XP_005847969,1.A.126,1.A.126,0.9999937,121
OLP87777,1.A.126,1.A.126,0.9979997,122
CAD7625038,1.A.126,1.A.126,0.99999714,123
Q3LZX6,1.A.127,1.A.127,0.99999666,126
YP_009725255,1.A.128,1.A.128,1.0,127
P30405,1.A.129,1.A.129,1.0,128
A9WIT9,1.A.13,1.W.9,0.06522268,143
F8CM01,1.A.13,1.A.13,0.99999285,144
E7RS17,1.A.13,1.A.13,0.9999851,145
B3QY78,1.A.13,8.A.18,0.77460414,146
KAI2464759,1.A.131,1.A.131,0.9999969,154
KKY14299,1.A.131,1.A.131,0.9999907,155
RCL04097,1.A.132,1.A.132,1.0,158
P31845,1.A.134,1.A.134,0.9999975,163
Q03105,1.A.137,1.A.137,0.99999106,165
XP_001687221,1.A.138,1.A.138,0.9999962,170
KAJ9467172,1.A.138,1.A.138,0.9999895,171
XP_025967337,1.A.139,1.A.139,0.9999993,176
CAC5415462,1.A.140,1.A.140,0.9999162,181
KNC21563,1.A.140,1.A.140,0.99998796,182
QCR16160,1.A.141,1.A.141,0.99986863,194
AXG08322,1.A.141,1.A.141,0.9999695,195
WP_248910494,1.A.141,1.A.141,0.9999666,196
NP_044070,1.A.143,1.A.143,0.99999917,199
YP_009448007,1.A.144,1.A.144,0.9999999,203
YP_784320,1.A.145,1.A.145,0.9999974,206
VVB63523,1.A.147,1.A.147,0.9999956,215
NVM01300,1.A.147,1.A.147,0.99999034,216
BBF24341,1.A.149,1.A.149,0.9999863,218
E1Z497,1.A.15,1.W.9,0.06522268,223
Q99442,1.A.15,1.A.15,0.9999987,224
M1V6H9,1.A.18,1.A.18,1.0,226
YP_009165879,1.A.19,1.A.19,0.9999881,231
E5S402,1.A.20,1.A.20,0.9997532,236
XP_020790974,1.A.21,1.A.21,0.9999938,251
XP_015208495,1.A.21,1.A.21,0.9999906,252
NP_001187,1.A.21,1.A.21,0.99999297,253
XP_032502729,1.A.21,1.A.21,0.9999964,254
R7QNM6,1.A.22,1.A.22,0.99999213,266
AUF82136,1.A.22,1.A.22,0.99996996,267
YP_003969926,1.A.22,1.A.22,0.9999498,268
Q96GZ6,1.A.26,1.A.26,0.9999484,278
O44196,1.A.26,1.A.26,0.9999951,279
L9YYI5,1.A.26,1.A.26,0.9999701,280
Q93PJ3,1.A.29,1.A.29,0.9999894,285
Q814I5,1.A.29,1.A.29,0.9999783,286
A4JYY8,1.A.32,1.A.32,0.994865,289
F7WTS9,1.A.33,1.A.33,0.99999106,297
Q5YNG4,1.A.33,1.W.9,0.06522268,298
Q8I132,1.A.36,1.A.36,0.99998355,304
J0DPD5,1.A.36,1.A.36,0.99999535,305
Q96HP8,1.A.37,1.A.37,0.9999937,318
XP_026139054,1.A.37,1.A.37,0.9999939,319
C3ZEE2,1.A.37,1.A.37,0.9999677,320
Q7RQA4,1.A.38,1.A.38,0.99999845,325
I6T2J8,1.A.39,1.A.39,0.99990034,328
AJT49618,1.A.40,1.A.40,0.9999802,333
Q6Y8U3,1.A.40,1.A.40,0.9999801,334
PIN02799,1.A.41,1.A.41,0.9999938,343
R0EUA4,1.A.41,1.A.41,0.9998054,344
ADO34202,1.A.42,1.A.42,0.999995,349
Q7Y5E2,1.A.44,1.A.44,1.0,350
A4S185,1.A.46,1.A.46,0.99697816,367
M2Y919,1.A.46,1.A.46,0.99997914,368
D8UGV3,1.A.46,1.A.46,0.999972,369
GAQ79686,1.A.46,1.A.46,0.999979,370
Q9LVA7,1.A.47,1.A.47,0.9999999,374
K3WTZ9,1.A.48,1.A.48,0.9999907,381
KAF1786581,1.A.48,1.A.48,0.9999988,382
YP_009113027,1.A.49,1.A.49,0.9999933,385
D8LKG3,1.A.55,1.A.55,0.99997425,395
F4PIU2,1.A.55,1.A.55,0.9999472,396
Q54CR4,1.A.55,1.A.55,0.9999597,397
P0DTC3,1.A.57,1.A.57,0.9999896,402
AVM87627,1.A.58,1.A.58,0.99999917,406
R9RZY4,1.A.59,1.A.59,0.99999464,409
P12870,1.A.61,1.A.61,0.99999976,411
ATP66790,1.A.65,1.A.65,0.99997985,419
H9AA36,1.A.65,1.A.65,0.99998474,420
P81861,1.A.66,1.A.66,1.0,421
S9VKR5,1.A.67,1.A.67,0.99995315,434
Q9NLB0,1.A.67,1.A.67,0.999956,435
XP_022811540,1.A.67,1.A.67,0.9999639,436
XP_034420108,1.A.67,1.A.67,0.99996066,437
O36632,1.A.68,1.A.68,0.99999976,440
P17677,1.A.71,1.A.71,0.9999832,442
Q03709,1.A.73,1.A.73,0.99999523,445
H3D9P2,1.A.74,1.A.74,0.9999982,450
TGO16390,1.A.81,1.A.81,0.9999939,455
Q7Z7J7,1.A.82,1.A.82,0.99997556,462
CAF0733683,1.A.82,1.A.82,0.9984503,463
CRH77963,1.A.86,1.A.86,0.9999738,467
I2K324,1.A.88,1.A.88,0.99949026,475
G8YEP6,1.A.88,1.A.88,0.9999969,476
ANA96049,1.A.89,1.A.89,0.99999964,481
ADX59459,1.A.89,1.A.89,0.99999654,482
E1AA99,1.A.93,1.A.93,0.9998512,487
UKG23804,1.A.94,1.A.94,0.9999864,491
L0N2B4,1.A.96,1.A.96,0.9999995,494
B2BW34,1.A.99,1.A.99,0.99999905,497
P45564,1.B.10,1.B.10,0.9999689,505
H8JS16,1.B.10,1.B.10,0.9998739,506
Q01UI3,1.B.13,1.B.13,0.9999435,518
C9U574,1.B.13,1.B.13,0.9999865,519
J4K5X9,1.B.13,1.B.13,0.9999583,520
A1T0X2,1.B.15,1.B.15,0.9999918,525
I3ZGF0,1.B.16,1.B.5,0.57071155,541
O66915,1.B.16,1.B.5,0.5440813,542
D8PHW0,1.B.16,1.B.5,0.5664506,543
Q7UGJ0,1.B.16,1.B.5,0.5806816,544
WP_152053851,1.B.162,1.B.162,0.99997675,553
WP_160129378,1.B.162,1.B.162,0.9999882,554
M2YRU5,1.B.163,1.B.163,0.9999585,562
A0QP93,1.B.163,1.B.163,0.9999908,563
WP_231666935,1.B.165,1.B.165,0.9999852,571
I1SBC9,1.B.165,1.B.165,0.9999573,572
B0RRH7,1.B.18,1.B.18,0.99999464,585
P0A932,1.B.18,1.B.18,0.9999752,586
Q1CVQ0,1.B.18,1.B.18,0.99998987,587
C1F9P1,1.B.19,1.B.19,0.9999975,595
H8FL42,1.B.19,1.B.19,0.99999166,596
E8M3M3,1.B.21,1.B.21,0.9999857,606
D0X4R0,1.B.21,1.B.21,0.9999865,607
B8K3G3,1.B.21,1.B.21,0.9999869,608
Q0SBX7,1.B.24,1.B.24,0.9999976,615
Q0RYN1,1.B.24,1.B.24,0.9999893,616
H2IWN4,1.B.26,1.B.26,0.99999845,620
A0PAQ8,1.B.27,1.B.27,0.99998593,633
Q7VHZ9,1.B.27,1.B.27,0.9998995,634
Q7VFJ9,1.B.27,1.B.27,0.9999583,635
R4Q7V2,1.B.27,1.B.27,0.99997795,636
K4D2B1,1.B.30,1.B.30,0.9008219,641
M2X828,1.B.30,1.B.30,0.5924522,642
B9D0I1,1.B.31,1.B.31,0.9999876,648
B9KFF7,1.B.31,1.B.31,0.99998665,649
SQI24628,1.B.34,1.B.34,0.9999542,666
WP_075469225,1.B.34,1.B.34,0.99998915,667
SEB47250,1.B.34,1.B.34,0.9999831,668
SIQ09903,1.B.34,1.B.34,0.99993896,669
M4U9K6,1.B.35,1.B.35,0.999995,682
Q6LL41,1.B.35,1.B.35,0.9999839,683
Q1Z3D7,1.B.35,1.B.35,0.9999807,684
C9QGR6,1.B.35,1.B.35,0.99999225,685
F0RWP8,1.B.36,1.B.36,0.9999988,688
D0LRV8,1.B.37,1.B.37,0.999997,691
A5GAN4,1.B.39,1.W.9,0.0654449,701
B9M7K9,1.B.39,1.B.39,0.99999297,702
B0VUV8,1.B.39,1.B.39,0.99999654,703
Q8FQT0,1.B.41,1.B.41,0.99999714,708
C0XRQ2,1.B.41,1.B.41,0.9999876,709
Q6GZ99,1.B.49,1.B.49,0.99999607,717
Q8G8H4,1.B.49,1.B.49,0.9999862,718
G6XK71,1.B.5,1.B.5,0.57693624,732
F5SXN1,1.B.5,1.B.5,0.5572077,733
D5CMQ7,1.B.5,1.B.5,0.56173366,734
D3SLU1,1.B.5,1.B.5,0.5723797,735
S0EUI6,1.B.50,1.B.50,0.9999993,740
Q44881,1.B.51,1.B.51,1.0,741
B8F2P1,1.B.52,1.B.52,0.99999845,743
A7ZLV9,1.B.53,1.B.53,0.9999752,747
D0LXF9,1.B.60,1.B.60,0.99998784,756
Q6MQH3,1.B.60,1.B.60,0.9999484,757
Q1DFS2,1.B.61,1.B.61,0.99999917,763
Q72DY0,1.B.61,1.B.61,0.9999896,764
Q07KZ2,1.B.62,1.B.62,0.9999963,772
A6DTR9,1.B.62,1.B.62,0.9999939,773
D2QNK6,1.B.63,1.B.63,0.9999888,778
B2RL31,1.B.63,1.B.63,0.9999782,779
F9EV82,1.B.65,1.B.65,0.99999547,788
I3DIB8,1.B.65,1.B.65,0.9999957,789
F6D908,1.B.68,1.B.68,0.9999844,793
W9WL67,1.B.69,1.B.69,0.9978403,804
E9BDN5,1.B.69,1.B.69,0.7686085,805
Q6GQ39,1.B.69,1.B.30,0.68927336,806
A4WXA3,1.B.7,1.B.7,0.99998176,813
Q5HB83,1.B.7,1.B.7,0.99999535,814
Q2K0Q0,1.B.70,1.B.70,0.99995434,827
Q9L7A9,1.B.70,1.B.70,0.99994695,828
Q44665,1.B.70,1.B.70,0.999948,829
C6W3T8,1.B.73,1.B.73,0.99990857,835
E4T302,1.B.73,1.B.73,0.99995697,836
F8CR23,1.B.75,1.B.75,0.9999795,845
Q7U678,1.B.75,1.B.75,0.99998796,846
Q7VAD5,1.B.75,1.B.75,0.99998736,847
Q4KCN5,1.B.76,1.B.76,0.9999889,853
P36649,1.B.76,1.B.76,0.9987368,854
B7FZU1,1.B.77,1.B.77,0.99998856,866
R1E3Q5,1.B.77,1.B.77,0.9999703,867
W7TBY2,1.B.77,1.B.77,0.99998164,868
A5G7L3,1.B.78,1.B.78,0.9999924,873
L1L857,1.B.79,1.B.79,0.9993936,875
W0A8H9,1.B.81,1.B.81,0.99996734,890
F8GDI1,1.B.81,1.B.81,0.9999633,891
KER09053,1.B.81,1.B.81,0.9999702,892
WP_054039809,1.B.81,1.B.81,0.9999012,893
A5C9I8,1.B.82,1.B.82,0.9999769,896
OGR70538,1.B.84,1.B.84,0.9999926,903
NLW31479,1.B.84,1.B.84,0.9999664,904
S2XLX4,1.B.85,1.B.85,0.99998415,909
WP_094626014,1.B.85,1.B.85,0.9999889,910
WP_132308094,1.B.92,1.B.92,0.99998355,918
WP_101656401,1.B.92,1.B.92,0.9999925,919
WP_068467660,1.B.95,1.B.95,0.999944,934
TET05321,1.B.95,1.B.95,0.999985,935
WP_146917420,1.B.95,1.B.95,0.9999846,936
WP_105313043,1.B.95,1.B.95,0.99998343,937
K7JEL9,1.C.10,1.C.10,0.9999726,943
B3MQ48,1.C.10,1.C.10,0.9999484,944
EKF9241902,1.C.100,1.C.100,0.9998518,947
AZY88389,1.C.101,1.C.101,0.99999464,952
C6SS71,1.C.102,1.C.26,0.9992391,954
XP_008081830,1.C.104,1.C.104,0.9999436,966
RDI86773,1.C.104,1.C.104,0.9999832,967
XP_007925356,1.C.104,1.C.104,0.99999607,968
Q51449,1.C.106,1.C.106,0.99999714,973
Q9I788,1.C.106,1.C.106,0.9999995,974
XP_014317300,1.C.108,1.C.108,0.99999106,979
Q6UXR3,1.C.108,1.C.108,0.9999931,980
J8IXD8,1.C.109,1.C.109,0.99999833,985
C7BYV0,1.C.109,1.C.109,0.99999344,986
A1YKW7,1.C.11,1.C.11,0.99996567,994
AEH33294,1.C.11,1.C.11,0.99999523,995
G3WS63,1.C.110,1.C.110,1.0,998
Q9H2X3,1.C.111,1.C.111,0.9999875,1013
Q5QGZ9,1.C.111,1.C.111,0.99998224,1014
P05451,1.C.111,1.C.111,0.9999424,1015
Q07108,1.C.111,1.C.111,0.9999788,1016
Q15546,1.C.113,1.C.113,0.9999794,1029
B0XDW7,1.C.113,1.C.113,0.99999535,1030
Q8IY49,1.C.113,1.C.113,0.9999814,1031
Q7YZB4,1.C.114,1.C.114,0.9999819,1036
K4PXJ9,1.C.115,1.C.115,0.99999404,1041
P45884,1.C.115,1.C.115,0.9999918,1042
E9EKK1,1.C.119,1.C.119,0.9999956,1047
M5N9T8,1.C.119,1.C.119,0.99999404,1048
P04347,1.C.121,1.C.121,0.6543176,1050
Q56CZ9,1.C.122,1.C.122,0.9999484,1052
P82427,1.C.124,1.C.124,0.9999759,1057
AEX09222,1.C.124,1.C.124,0.9999666,1058
AHN67314,1.C.126,1.C.126,0.9999912,1062
AAA32327,1.C.129,1.C.129,0.99999905,1065
B7PSG2,1.C.13,1.C.13,0.99999917,1070
J9HUA3,1.C.13,1.C.13,0.9999989,1071
WP_072053873,1.C.130,1.C.130,1.0,1075
XP_039042682,1.C.132,1.C.132,0.9999862,1081
WP_168566867,1.C.132,1.C.132,0.9999697,1082
WP_241450605,1.C.136,1.C.136,0.99999774,1084
Q1ELU4,1.C.138,1.C.138,0.99999976,1088
WP_047703972,1.C.14,1.C.14,0.99999297,1094
D1J6Q5,1.C.14,1.C.14,0.9999957,1095
CAC42164,1.C.18,1.C.18,0.9999995,1098
P82270,1.C.19,1.C.19,0.9860508,1104
Q6EZF9,1.C.19,1.C.19,0.9999951,1105
Q9ZIU5,1.C.2,1.C.2,0.99994457,1122
Q45755,1.C.2,1.C.2,0.99997175,1123
R4I3J1,1.C.2,1.C.2,0.99989176,1124
P56955,1.C.2,1.C.2,0.99988425,1125
Q57312,1.C.20,1.C.20,0.99999166,1133
WWQ01948,1.C.20,1.C.20,0.99998057,1134
P84962,1.C.24,1.C.24,0.9999006,1147
P83002,1.C.24,1.C.24,0.9998287,1148
Q6TGQ7,1.C.24,1.C.24,0.999984,1149
WP_080375718,1.C.24,1.C.24,0.99998295,1150
WP_098856434,1.C.26,1.C.26,0.9992466,1153
A7GJP5,1.C.31,1.C.31,0.99999964,1157
P49913,1.C.33,1.C.33,0.99998045,1167
P54228,1.C.33,1.C.33,0.99998426,1168
ASN73764,1.C.33,1.C.33,0.99997675,1169
WP_121688872,1.C.37,1.C.37,0.9999908,1180
WP_142504358,1.C.37,1.C.37,0.99997675,1181
CRH85725,1.C.37,1.C.37,0.9999635,1182
XP_010767831,1.C.38,1.C.38,0.999966,1196
Q5UCA8,1.C.38,1.C.38,0.99983346,1197
P07845,1.C.38,1.C.38,0.9998368,1198
P0DQV7,1.C.38,1.C.38,0.9999813,1199
P11597,1.C.40,1.C.40,0.99999964,1207
B5ABT1,1.C.40,1.W.9,0.0656579,1208
B2LWZ1,1.C.42,1.C.42,0.97433823,1213
O06498,1.C.42,1.C.42,0.9999988,1214
P08943,1.C.44,1.C.44,0.99991834,1216
P01160,1.C.46,1.C.46,0.99999714,1221
Q9NJC6,1.C.47,1.C.47,0.9999651,1235
H2CYQ1,1.C.47,1.C.47,0.9999713,1236
F6LCB3,1.C.47,1.C.47,0.9998379,1237
Q07A30,1.C.47,1.C.47,0.9999672,1238
Q9UKY0,1.C.48,1.C.48,0.9999962,1242
P06881,1.C.49,1.C.49,0.997405,1244
R7ZEE7,1.C.5,1.C.5,0.9986872,1250
Q45728,1.C.5,1.C.5,0.9877032,1251
T2MFP9,1.C.50,1.C.50,0.9999999,1255
Q07932,1.C.51,1.C.51,1.0,1256
P69178,1.C.54,1.C.54,1.0,1257
P0A3W8,1.C.55,1.C.55,1.0,1258
F2JTE2,1.C.56,1.C.56,0.9999901,1262
WP_089964624,1.C.61,1.C.61,0.99999905,1266
L0CMD2,1.C.62,1.C.62,0.99999905,1270
XP_015918646,1.C.63,1.C.63,0.9999999,1273
Q6BF25,1.C.64,1.C.64,0.99999964,1285
MBA8650993,1.C.64,1.C.64,0.999974,1286
WP_141754689,1.C.64,1.C.64,0.99997365,1287
Q9L6W3,1.C.65,1.C.65,0.9999969,1292
P33432,1.C.66,1.C.66,1.0,1293
C4M9N5,1.C.67,1.C.67,0.9999999,1295
P83250,1.C.68,1.C.68,1.0,1297
KID84774,1.C.7,1.C.7,0.9999938,1301
WP_062552397,1.C.70,1.C.70,0.9999845,1306
T1WIB6,1.C.71,1.C.71,0.9999945,1313
S8E3M3,1.C.71,1.C.71,0.9999932,1314
P01382,1.C.74,1.C.74,0.89869297,1321
Q8QGR0,1.C.74,1.C.74,0.9908199,1322
B1Z6U1,1.C.75,1.C.75,0.9978629,1329
AKC96038,1.C.75,1.C.75,0.9999987,1330
O76070,1.C.77,1.C.77,0.99999845,1333
A7IZR5,1.C.78,1.C.78,0.8530991,1337
P46081,1.C.8,1.C.8,0.9999995,1341
B7LAC5,1.C.80,1.C.80,0.9999913,1345
Q9Y287,1.C.81,1.C.81,0.9999951,1355
O43736,1.C.81,1.C.81,0.9999949,1356
Q9NQX7,1.C.81,1.C.81,0.9999949,1357
WP_078474522,1.C.82,1.C.82,0.99999833,1359
Q9ZGP5,1.C.83,1.C.83,0.9999455,1361
F9P995,1.C.84,1.C.84,0.99996626,1363
Q13519,1.C.89,1.C.89,0.99999976,1366
WP_013023010,1.C.9,1.C.9,0.99999774,1369
C9BRP5,1.C.90,1.C.90,0.9999951,1377
A5MY21,1.C.90,1.C.90,0.9999945,1378
P04080,1.C.91,1.C.91,1.0,1379
Q15818,1.C.92,1.C.92,0.99999785,1382
A4UVR2,1.C.93,1.C.93,1.0,1383
WP_084614884,1.C.95,1.C.95,0.99998975,1394
WP_006059095,1.C.95,1.C.95,0.9999634,1395
WP_018802519,1.C.95,1.C.95,0.9999622,1396
YP_009724395,1.C.99,1.C.99,0.9989819,1403
QCX35176,1.C.99,1.C.99,0.9999908,1404
XP_004616922,1.D.118,1.D.118,0.9999845,1407
XP_045930465,1.D.194,1.D.194,0.99999654,1411
NIM52277,1.D.24,1.D.24,0.99999654,1418
KUH88733,1.D.24,1.D.24,0.99999964,1419
TKY80222,1.E.1,1.E.1,0.9999974,1427
ECY3018204,1.E.1,1.E.1,0.99999464,1428
Q37895,1.E.10,1.E.10,0.7941664,1432
P94515,1.E.14,1.E.14,0.9999783,1449
C9RFW8,1.E.14,1.E.14,0.99998856,1450
C9RG44,1.E.14,1.E.14,0.99998856,1451
D3S646,1.E.14,1.E.14,0.99999726,1452
F9LWA6,1.E.16,1.E.16,0.9979735,1456
I0FEC7,1.E.17,1.E.17,0.999997,1463
WP_080684304,1.E.17,1.E.17,0.99999475,1464
M9MU75,1.E.18,1.E.18,0.99999034,1474
ERG63474,1.E.18,1.E.18,0.99995995,1475
WP_298535700,1.E.18,1.E.18,0.9999957,1476
PIN93264,1.E.20,1.E.20,0.9999635,1481
EJG08371,1.E.20,1.E.20,0.99998343,1482
Q37975,1.E.21,1.E.21,0.99999547,1487
B1S807,1.E.21,1.E.21,0.9999881,1488
I0JPG6,1.E.23,1.E.23,0.99998677,1494
WP_068445074,1.E.23,1.E.23,0.9999695,1495
E7MNX8,1.E.24,1.E.24,0.9999912,1501
G1WGA3,1.E.24,1.E.24,0.9999987,1502
WP_087770102,1.E.25,1.E.25,0.9999746,1513
RYC38893,1.E.25,1.E.25,0.99997735,1514
ALA46464,1.E.25,1.E.25,0.999982,1515
C3GBU6,1.E.27,1.E.27,0.99998426,1522
CRG98304,1.E.27,1.E.27,0.99999416,1523
F7TY91,1.E.29,1.E.29,0.999982,1536
WP_076238539,1.E.29,1.E.29,0.9999882,1537
WP_116059751,1.E.29,1.E.29,0.9999434,1538
D5CT34,1.E.33,1.E.33,0.999892,1544
G4FVE2,1.E.33,1.E.33,0.999997,1545
R4JJW4,1.E.4,1.E.4,0.99999976,1549
ESK64892,1.E.42,1.E.42,0.9999794,1555
QDX55601,1.E.42,1.E.42,0.9999864,1556
WP_081276159,1.E.44,1.E.44,0.9999999,1559
W7Wfe7,1.E.50,1.E.50,0.9999987,1562
B3R344,1.E.52,1.E.52,0.9999968,1567
B8JFG0,1.E.52,1.E.52,0.99999857,1568
E7J6N6,1.E.53,1.E.53,0.9999716,1578
P13970,1.E.53,1.E.53,0.999992,1579
E9U5S4,1.E.53,1.E.53,0.9999927,1580
M4K1R4,1.E.56,1.E.56,0.9999933,1590
B0VUM9,1.E.56,1.E.56,0.9999876,1591
K4PA82,1.E.56,1.E.56,0.99998534,1592
A9C1R0,1.E.6,1.E.6,0.99996185,1607
H1RRJ5,1.E.6,1.E.6,0.99996126,1608
C1D8E7,1.E.6,1.E.6,0.9999629,1609
WLJ89320,1.E.6,1.E.6,0.99996674,1610
WP_080520514,1.E.61,1.E.61,0.9999989,1612
WP_006300053,1.E.62,1.E.62,0.9999813,1619
WP_072024012,1.E.62,1.E.62,0.9999894,1620
WP_033100758,1.E.65,1.E.65,0.9999964,1626
WP_221178964,1.E.65,1.E.65,0.9999987,1627
WP_184711133,1.E.7,1.E.7,0.9999728,1636
WP_097540830,1.E.7,1.E.7,0.9999645,1637
WP_055414402,1.E.7,1.E.7,0.9999814,1638
MDI6753459,1.E.71,1.E.71,0.9999689,1643
K7NTM2,1.E.8,1.E.8,0.99999607,1648
AZU98589,1.E.8,1.E.8,0.9999958,1649
C1A5F4,1.E.9,1.E.9,0.9999937,1659
Q8KCM5,1.E.9,1.E.9,0.99998903,1660
B3QMN8,1.E.9,1.E.9,0.9999883,1661
AMQ26458,1.G.1,1.G.1,0.99999857,1667
AFV53227,1.G.1,1.G.1,0.99999857,1668
Q1PDC7,1.G.12,1.G.12,0.99999154,1673
AVM87398,1.G.14,1.G.14,0.9999981,1676
P28977,1.G.15,1.G.15,0.9999988,1680
P04578,1.G.16,1.G.16,0.9999933,1683
YP_009724390,1.G.18,1.G.18,0.9999974,1689
YP_007188579,1.G.18,1.G.18,0.9999976,1690
Q9IH63,1.G.2,1.G.2,0.9999864,1699
WP_150375648,1.G.2,1.G.2,0.99969935,1700
J3S7E1,1.G.20,1.G.20,0.9999957,1706
B8PWH4,1.G.20,1.G.20,0.9999968,1707
O36400,1.G.21,1.G.21,0.99999964,1710
AFJ15605,1.G.4,1.G.4,0.9999999,1715
G0LWX4,1.G.4,1.G.4,0.993032,1716
U5YDR4,1.G.5,1.G.5,0.9999995,1720
A7XED7,1.G.6,1.G.6,1.0,1721
YP_002929490,1.G.8,1.G.8,0.99999774,1726
Q7ZFT7,1.G.9,1.G.9,0.9999113,1734
M4HM10,1.G.9,1.G.9,0.9999596,1735
YP_010771824,1.J.1,1.J.1,0.9999958,1740
Q2LM93,1.K.3,1.K.3,0.99999833,1743
U3IYW3,1.L.1,1.L.1,0.9999988,1746
WP_250671306,1.M.7,1.M.7,0.9999764,1751
WP_200664041,1.M.7,1.M.7,0.99997354,1752
A4GRC6,1.N.3,1.N.3,0.99994516,1758
Q4YCF6,1.N.3,1.N.3,0.9999702,1759
E5S3P2,1.N.4,1.N.4,0.99999475,1764
Q99287,1.N.5,1.N.5,0.9999349,1770
Q6DD88,1.N.5,1.N.5,0.99999547,1771
O00291,1.N.7,1.N.7,1.0,1772
A1Z713,1.R.2,1.R.2,0.9999968,1777
